Datum,Produktion,Verbrauch,Netzeinspeisung,Netzbezug
2015-08-29,12.885,3.666,6.432,0.632
2015-08-30,8.302,4.159,4.868,0.337
2015-08-31,13.066,5.556,5.858,0.571
2015-01-09,2.653,2.595,0.08,0.145
2015-02-09,11.089,5.067,5.056,0.691
2015-03-09,12.577,5.476,5.965,0.223
2015-04-09,4.372,6.175,0.142,0.852
2015-05-09,10.221,6.437,3.153,2.1
2015-06-09,8.477,8.316,1.154,2.897
2015-07-09,13.711,6.674,6.078,0.683
2015-08-09,10.291,3.697,5.411,0.295
2015-09-09,11.238,5.775,4.944,0.404
2015-10-09,11.611,3.82,6.397,0.131
2015-11-09,8.456,6.376,2.253,0.628
2015-12-09,10.822,4.168,4.39,0.314
2015-09-13,3.441,5.904,0.104,1.19
2015-09-14,2.497,7.919,0.078,5.254
2015-09-15,0.955,6.853,0.016,6.021
2015-09-16,0.922,6.288,0.03,5.522
2015-09-17,3.076,4.899,0.073,2.292
2015-09-18,10.873,6.511,2.799,1.985
2015-09-19,6.376,8.123,0.663,1.876
2015-09-20,9.188,11.071,1.511,4.001
2015-09-21,2.969,4.235,0.135,1.455
2015-09-22,3.738,8.296,0.071,5.087
2015-09-23,7.236,6.151,0.658,2.316
2015-09-24,5.475,4.493,0.291,0.175
2015-09-25,7.292,6.734,0.697,0.575
2015-09-26,8.887,10.342,0.76,2.323
2015-09-27,10.669,8.218,3.785,2.813
2015-09-28,9.574,5.14,3.341,0.891
2015-09-29,11.57,6.87,4.94,1.89
2015-09-30,13.564,5.55,7.031,0.156
2015-01-10,13.992,6.64,6.32,0.212
2015-02-10,13.354,6.151,6.857,0.482
2015-03-10,12.86,7.918,4.916,1.373
2015-04-10,11.009,8.385,3.119,1.494
2015-05-10,8.538,5.352,1.663,0.28
2015-06-10,1.434,8.523,0.077,5.668
2015-07-10,0.793,6.638,0.045,5.78
2015-08-10,0.008,4.742,0.0,4.735
2015-09-10,1.22,5.881,0.018,5.001
2015-10-10,13.625,8.59,4.356,2.113
2015-11-10,13.737,4.868,7.458,0.858
2015-12-10,10.876,6.471,3.572,0.138
2015-10-13,3.829,9.051,0.173,3.973
2015-10-14,0.249,6.63,0.005,6.414
2015-10-15,0.588,6.193,0.042,5.745
2015-10-16,0.139,5.262,0.0,5.202
2015-10-17,0.43,7.378,0.004,7.053
2015-10-18,0.438,6.547,0.004,6.198
2015-10-19,2.099,7.588,0.038,5.757
2015-10-20,4.194,4.23,0.234,2.012
2015-10-21,2.704,3.623,0.097,0.651
2015-10-22,0.609,7.888,0.0,7.314
2015-10-23,6.606,9.407,0.216,3.672
2015-10-24,1.457,4.015,0.059,2.813
2015-10-25,8.394,3.478,3.113,1.566
2015-10-26,9.788,3.079,5.254,0.091
2015-10-27,10.231,3.023,5.899,0.094
2015-10-28,1.369,3.164,0.133,0.154
2015-10-29,1.603,3.829,0.064,2.494
2015-10-30,4.949,4.072,0.237,1.937
2015-10-31,7.435,9.692,1.788,3.438
2015-01-11,8.16,12.549,0.202,5.302
2015-02-11,0.716,6.808,0.024,6.165
2015-03-11,1.236,6.266,0.069,5.349
2015-04-11,8.993,4.843,3.268,1.912
2015-05-11,1.826,6.796,0.086,3.724
2015-06-11,0.321,7.206,0.006,6.938
2015-07-11,1.028,14.204,0.013,13.42
2015-08-11,6.891,8.328,0.142,2.324
2015-09-11,1.587,6.146,0.045,4.782
2015-10-11,0.192,5.092,0.0,4.948
2015-11-11,0.177,6.397,0.003,6.311
2015-12-11,5.387,5.404,0.325,2.017
2015-11-13,4.421,6.676,0.179,2.4
2015-11-14,2.194,9.066,0.089,7.297
2015-11-15,0.089,12.919,0.0,12.844
2015-11-16,0.291,6.723,0.004,6.505
2015-11-17,0.375,4.582,0.012,4.317
2015-11-18,2.12,6.331,0.11,4.724
2015-11-19,1.156,6.392,0.047,5.422
2015-11-20,2.481,7.282,0.114,5.239
2015-11-21,0.466,4.956,0.018,4.627
2015-11-22,1.033,11.407,0.019,10.508
2015-11-23,6.228,11.238,0.11,5.784
2015-11-24,0.698,11.467,0.009,10.852
2015-11-25,0.219,7.254,0.0,7.12
2015-11-26,5.958,6.593,0.489,2.458
2015-11-27,3.038,6.584,0.094,3.721
2015-11-28,3.959,10.009,0.129,6.633
2015-11-29,0.141,7.067,0.0,6.948
2015-11-30,0.524,6.076,0.02,5.732
2015-01-12,1.942,9.837,0.044,8.175
2015-02-12,0.127,6.915,0.0,6.759
2015-03-12,2.43,5.743,0.058,3.72
